JUR001,Kesejahteraan Sosial,FISIP
JUR002,Administrasi Publik,FISIP
JUR003,Ilmu Politik,FISIP
JUR004,Ilmu Komunikasi,FISIP
JUR005,Magister Ilmu Administrasi,FISIP
JUR006,Magister Ilmu Komunikasi,FISIP
JUR007,Pendidikan Agama Islam,FAI
JUR008,Hukum Keluarga,FAI
JUR009,Komunikasi Penyiaran Islam,FAI
JUR010,Perbankan Syariah,FAI
JUR011,Zakat dan Wakaf,FAI
JUR012,PGMI,FAI
JUR013,Magister Studi Islam,FAI
JUR014,Hukum,FH
JUR015,Magister Hukum,FH
JUR016,Manajemen,FE
JUR017,Akuntasi,FE
JUR018,Ekonomi Islam,FE
JUR019,Magister Manajemen,FE
JUR020,Magister Akuntasi,FE
JUR021,PG-PAUD,FIP
JUR022,PG-SD,FIP
JUR023,Pendidikan Matematika,FIP
JUR024,Pendidikan Bahasa dan Sastra Indonesia,FIP
JUR025,Pendidikan Bahasa Inggris,FIP
JUR026,Magister Teknologi Pendidikan,FIP
JUR027,Teknik Sipil,FT
JUR028,Teknik Elektro,FT
JUR029,Teknik Kimia,FT
JUR030,Teknik Mesin,FT
JUR031,Teknik Industri,FT
JUR032,Arsitektur,FT
JUR033,Teknik Informatika,FT
JUR034,Perawatan Alat Belat [D3],FT
JUR035,Agroteknologi,FP
JUR036,Kedokteran,FK
JUR037,Profesi Dokter,FK
JUR038,Kesehatan Masyarakat,FK
JUR039,D3 Kebidanan,FK
JUR040,Magister Kesehatan Masyarakat,FK
JUR041,Keperawatan,FIK
JUR042,Profesi Ners,FIK
JUR043,D3 Keperawatan,FIK
JUR044,Magister Keperawatan,FIK
